City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Powell River,CA,46.4,Clouds,49.85,-124.54,Marine Inn
7,Smithers,CA,35.6,Clouds,54.78,-127.17,Stork Nest Inn
12,Kodiak,US,30.2,Clear,57.79,-152.41,Best Western Kodiak Inn and Convention Center
14,Ushuaia,AR,46.4,Clouds,-54.8,-68.3,Las Lengas Hotel
24,Nikolskoye,RU,28.4,Clouds,59.7,30.79,Gostinitsa Dlya Krupnogabaritnykh Gruzov
39,Troitskoye,RU,26.37,Snow,52.98,84.68,No Hotel around found
41,Punta Arenas,CL,50.0,Clouds,-53.15,-70.92,Hotel Finis Terrae
46,Havre,FR,35.6,Clouds,49.58,0.33,Au Leclairlogis
52,Dolinsk,RU,21.2,Clouds,47.35,142.8,No Hotel around found
54,Hofn,IS,35.82,Snow,64.25,-15.21,Höfn Inn Guesthouse
63,Bar Harbor,US,33.01,Clouds,44.39,-68.2,Acadia Inn
72,Klaksvik,FO,33.8,Clouds,62.23,-6.59,Geilin Bed & Breakfast
74,Temir,KZ,32.31,Clouds,49.14,57.13,No Hotel around found
80,Lata,PT,50.0,Fog,40.16,-8.33,Terraços da Beira
85,Bethel,US,32.0,Clouds,41.37,-73.41,Holiday Inn Danbury-Bethel @ I-84
87,Asau,RO,30.99,Clouds,46.43,26.4,Pensiunea Sophia
88,Fortuna,US,46.0,Clear,40.6,-124.16,THE REDWOOD RIVERWALK HOTEL
90,Owosso,US,21.2,Clouds,43.0,-84.18,The PINES Country Inn
101,Xining,CN,45.23,Clear,36.62,101.77,Qinghai Hengyu International Youth Hostel
109,North Myrtle Beach,US,41.0,Clear,33.82,-78.68,Club Wyndham Towers on the Grove
112,Talakan,RU,22.26,Snow,50.32,130.37,No Hotel around found
116,Palmer,US,30.2,Clouds,42.16,-72.33,The Trainmaster's Inn
117,Kyzyl-Suu,KG,33.31,Clouds,42.34,78.0,Hostel “Suusar”
119,Kamenka,RU,45.0,Clouds,51.32,42.77,No Hotel around found
122,Chubbuck,US,27.0,Clear,42.92,-112.47,Quality Inn
130,Hammelburg,DE,35.01,Clouds,50.12,9.9,Altstadthotel & Stadtcafé
134,Berlevag,NO,23.0,Clouds,70.86,29.09,Berlevåg camping & Appartement AS
142,Goderich,CA,25.0,Snow,43.75,-81.72,Colborne Bed and Breakfast
149,Komsomolskiy,UZ,39.2,Mist,40.43,71.72,Ikathouse
154,Constantine,DZ,37.4,Clear,36.37,6.61,Hotel El Maghreb
162,Vokhma,RU,32.27,Snow,58.93,46.76,No Hotel around found
165,Mehamn,NO,24.8,Clouds,71.04,27.85,Mehamn Vandrerhjem
173,Salamanca,ES,36.0,Clouds,40.83,-6.0,No Hotel around found
