City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Sambava,MG,2020-02-25 05:38:48,-14.27,50.17,88.05,64,97,1.12
1,Saskylakh,RU,2020-02-25 05:31:49,71.92,114.08,16.79,86,97,17.22
2,Yenagoa,NG,2020-02-25 05:32:28,4.92,6.26,76.66,95,11,3.02
3,Nome,US,2020-02-25 05:31:13,64.5,-165.41,6.8,55,1,6.38
4,Longyearbyen,SJ,2020-02-25 05:30:53,78.22,15.64,3.2,71,40,6.93
5,Cape Town,ZA,2020-02-25 05:29:56,-33.93,18.42,69.01,82,0,2.24
6,Avarua,CK,2020-02-25 05:31:20,-21.21,-159.78,80.6,88,100,2.24
7,Bredasdorp,ZA,2020-02-25 05:31:34,-34.53,20.04,66.99,82,0,11.41
8,Bethel,US,2020-02-25 05:31:50,40.66,-73.61,50.0,87,90,8.05
9,Taolanaro,MG,2020-02-25 05:31:26,-25.03,47.0,75.2,69,75,6.93
10,Port Alfred,ZA,2020-02-25 05:31:16,-33.59,26.89,69.01,84,0,13.0
11,Cabo San Lucas,MX,2020-02-25 05:30:08,22.89,-109.91,66.0,59,90,5.82
12,Sao Gabriel Da Cachoeira,BR,2020-02-25 05:31:42,-0.13,-67.09,72.9,94,98,1.21
13,Yellowknife,CA,2020-02-25 05:31:19,62.46,-114.35,-13.0,75,5,6.93
14,Kungsbacka,SE,2020-02-25 05:38:50,57.47,12.17,34.0,92,90,16.11
15,Busselton,AU,2020-02-25 05:31:15,-33.65,115.33,82.99,33,74,15.55
16,Vao,NC,2020-02-25 05:28:44,-22.67,167.48,79.25,76,100,15.05
17,Kahului,US,2020-02-25 05:31:37,20.89,-156.47,73.4,78,40,9.17
18,Lorengau,PG,2020-02-25 05:31:15,-2.02,147.27,84.72,67,29,3.42
19,Berlevag,NO,2020-02-25 05:38:51,70.86,29.09,28.54,58,100,9.86
20,Bathsheba,BB,2020-02-25 05:31:55,13.22,-59.52,78.8,74,40,13.87
21,Kapaa,US,2020-02-25 05:30:18,22.08,-159.32,77.0,83,75,20.8
22,Faanui,PF,2020-02-25 05:31:25,-16.48,-151.75,83.23,71,100,10.29
23,Zapolyarnyy,RU,2020-02-25 05:38:51,69.42,30.81,26.6,73,75,11.41
24,Kaitangata,NZ,2020-02-25 05:31:46,-46.28,169.85,64.99,69,83,1.99
25,Tiksi,RU,2020-02-25 05:26:58,71.69,128.87,4.6,81,100,29.57
26,Mataura,NZ,2020-02-25 05:31:13,-46.19,168.86,64.47,80,99,3.6
27,Puerto Ayora,EC,2020-02-25 05:31:12,-0.74,-90.35,78.01,100,18,7.05
28,Tucano,CO,2020-02-25 05:37:43,1.8,-78.82,79.65,82,95,6.02
29,Qaanaaq,GL,2020-02-25 05:31:26,77.48,-69.36,-17.77,52,2,6.33
30,Pochutla,MX,2020-02-25 05:38:52,15.73,-96.47,80.6,74,40,12.37
31,Niceville,US,2020-02-25 05:38:53,30.52,-86.48,64.99,100,90,3.36
32,Tuktoyaktuk,CA,2020-02-25 05:31:52,69.45,-133.04,-20.2,75,5,9.17
33,Barrow,GB,2020-02-25 05:31:14,54.12,-3.23,41.0,2,53,10.0
34,Hobart,AU,2020-02-25 05:28:18,-42.88,147.33,81.0,64,8,19.46
35,Ushuaia,AR,2020-02-25 05:31:16,-54.8,-68.3,44.6,75,40,39.15
36,Gouyave,GD,2020-02-25 05:38:53,12.16,-61.73,78.8,83,20,17.22
37,Yaan,NG,2020-02-25 05:31:28,7.38,8.57,70.09,26,33,3.2
38,Chokurdakh,RU,2020-02-25 05:31:39,70.63,147.92,-18.9,92,0,9.71
39,Valdivia,CL,2020-02-25 05:38:54,-39.81,-73.25,44.6,100,40,2.24
40,Vila Velha,BR,2020-02-25 05:32:02,-20.33,-40.29,77.0,94,75,3.36
41,Rikitea,PF,2020-02-25 05:31:15,-23.12,-134.97,79.84,65,68,5.06
42,Sobolevo,RU,2020-02-25 05:35:38,54.43,31.9,28.92,84,2,5.68
43,Long Beach,US,2020-02-25 05:34:57,33.77,-118.19,62.01,87,1,0.96
44,Lahij,YE,2020-02-25 05:38:55,13.17,44.58,74.71,61,24,12.77
45,Whitehorse,CA,2020-02-25 05:32:33,60.72,-135.05,1.4,77,75,3.62
46,Husavik,IS,2020-02-25 05:31:43,66.04,-17.34,26.19,93,100,4.79
47,Sangueya,GN,2020-02-25 05:38:55,10.7,-14.37,73.94,88,22,2.59
48,Beringovskiy,RU,2020-02-25 05:32:15,63.05,179.32,-5.64,96,100,11.03
49,Huarmey,PE,2020-02-25 05:31:30,-10.07,-78.15,72.93,72,52,1.34
50,Arraial Do Cabo,BR,2020-02-25 05:31:15,-22.97,-42.03,75.25,84,100,18.14
51,Fukue,JP,2020-02-25 05:35:30,32.69,128.84,64.4,88,75,11.41
52,Torbay,CA,2020-02-25 05:32:50,47.67,-52.73,32.0,94,90,12.75
53,Semporna,MY,2020-02-25 05:38:56,4.48,118.61,91.4,59,20,9.17
54,Flinders,AU,2020-02-25 05:38:56,-34.58,150.86,87.01,54,20,14.99
55,Lavrentiya,RU,2020-02-25 05:33:54,65.58,-171.0,15.28,89,100,8.12
56,Hay River,CA,2020-02-25 05:34:09,60.82,-115.8,-16.6,68,40,5.66
57,Nanortalik,GL,2020-02-25 05:31:52,60.14,-45.24,15.94,58,0,21.88
58,Broome,US,2020-02-25 05:31:29,42.25,-75.83,39.0,88,40,1.25
59,Te Anau,NZ,2020-02-25 05:31:42,-45.42,167.72,62.76,69,93,6.69
60,Isangel,VU,2020-02-25 05:31:51,-19.55,169.27,80.6,88,75,9.17
61,Atuona,PF,2020-02-25 05:31:25,-9.8,-139.03,81.14,78,28,12.53
62,Victoria,HK,2020-02-25 05:31:32,22.29,114.16,82.0,69,40,8.05
63,Maniitsoq,GL,2020-02-25 05:38:58,65.42,-52.9,6.55,81,100,6.24
64,Dikson,US,2020-02-25 05:31:36,38.45,-121.82,59.0,28,1,6.93
65,Providencia,MX,2020-02-25 05:38:58,28.72,-111.58,64.99,55,5,16.46
66,Butaritari,KI,2020-02-25 05:31:42,3.07,172.79,84.51,78,61,15.01
67,Hermanus,ZA,2020-02-25 05:31:20,-34.42,19.23,72.0,73,0,11.99
68,Marawi,PH,2020-02-25 05:34:30,8.0,124.28,82.0,84,85,3.0
69,Nizhniy Odes,RU,2020-02-25 05:38:59,63.64,54.86,30.0,93,100,10.16
70,Narrabri,AU,2020-02-25 05:38:12,-30.32,149.78,84.2,48,75,4.7
71,Novaya Ladoga,RU,2020-02-25 05:38:59,60.1,32.3,28.85,92,95,11.21
72,Coquimbo,CL,2020-02-25 05:32:51,-29.95,-71.34,59.0,82,0,2.24
73,Laredo,US,2020-02-25 05:37:57,27.51,-99.51,66.2,42,1,4.7
74,Bogande,BF,2020-02-25 05:38:59,12.97,-0.14,66.42,14,71,11.05
75,Punta Arenas,CL,2020-02-25 05:31:13,-53.15,-70.92,47.73,74,76,15.68
76,Biltine,TD,2020-02-25 05:35:01,14.53,20.92,59.67,22,0,24.0
77,Port Lincoln,AU,2020-02-25 05:30:31,-34.73,135.87,71.82,55,0,11.03
78,Hilo,US,2020-02-25 05:27:48,19.73,-155.09,73.99,73,40,4.7
79,Ngunguru,NZ,2020-02-25 05:39:00,-35.62,174.5,73.0,60,0,5.01
80,Ponta Do Sol,PT,2020-02-25 05:31:18,32.67,-17.1,66.0,82,20,19.46
81,Suntar,RU,2020-02-25 05:39:01,62.14,117.63,19.06,87,81,9.42
82,Hutchinson,US,2020-02-25 05:39:01,38.06,-97.93,42.01,80,75,13.87
83,Nabire,ID,2020-02-25 05:31:23,-3.37,135.48,87.06,62,75,5.79
84,Fartura,BR,2020-02-25 05:39:01,-23.39,-49.51,68.31,95,31,3.51
85,Mbeya,TZ,2020-02-25 05:39:01,-8.9,33.45,62.24,94,100,4.18
86,Bandarbeyla,SO,2020-02-25 05:31:16,9.49,50.81,76.95,75,79,16.51
87,San Cristobal,MX,2020-02-25 05:31:51,19.6,-99.05,68.0,37,5,3.36
88,Portland,US,2020-02-25 05:31:56,45.52,-122.68,43.0,75,1,3.36
89,Saint-Philippe,RE,2020-02-25 05:32:10,-21.36,55.77,82.4,69,75,10.29
90,Bluff,NZ,2020-02-25 05:31:18,-46.6,168.33,65.86,69,81,4.92
91,New Norfolk,AU,2020-02-25 05:31:36,-42.78,147.06,81.0,64,1,19.46
92,Ilulissat,GL,2020-02-25 05:31:42,69.22,-51.1,1.4,70,87,11.41
93,Labuhan,ID,2020-02-25 05:31:54,3.73,98.67,86.0,79,40,9.17
94,Dauphin,US,2020-02-25 05:35:39,40.63,-76.75,46.99,64,1,2.17
95,Fort Smith,US,2020-02-25 05:31:43,35.39,-94.4,48.99,87,90,11.41
96,Isla Vista,US,2020-02-25 05:39:03,34.41,-119.86,57.99,43,1,7.0
97,Piet Retief,ZA,2020-02-25 05:39:03,-27.01,30.81,61.63,76,15,2.64
98,Grand River South East,MU,2020-02-25 05:32:05,-20.29,57.78,84.2,79,75,4.7
99,Auray,FR,2020-02-25 05:39:04,47.67,-2.99,48.99,87,90,8.05
100,East London,ZA,2020-02-25 05:31:44,-33.02,27.91,66.2,82,0,4.7
101,Thompson,CA,2020-02-25 05:31:48,55.74,-97.86,-2.2,70,90,8.05
102,Kloulklubed,PW,2020-02-25 05:39:04,7.04,134.26,86.0,70,75,12.75
103,Egvekinot,RU,2020-02-25 05:31:57,66.32,-179.17,-4.59,61,77,6.2
104,Svetlogorsk,BY,2020-02-25 05:39:04,52.63,29.74,32.4,79,68,6.44
105,Illoqqortoormiut,GL,2020-02-25 05:31:27,70.48,-21.96,-10.66,48,45,7.61
106,Cartagena,CO,2020-02-25 05:39:05,10.4,-75.51,77.0,88,20,12.75
107,Haapiti,PF,2020-02-25 05:39:05,-17.57,-149.87,84.2,66,20,6.93
108,Khatanga,RU,2020-02-25 05:32:23,71.97,102.5,19.85,81,97,21.39
109,North Platte,US,2020-02-25 05:39:05,41.12,-100.77,33.8,86,90,9.17
110,Narimanov,RU,2020-02-25 05:39:05,46.69,47.85,39.2,100,90,2.24
111,Clyde River,CA,2020-02-25 05:31:46,70.47,-68.59,-16.6,62,40,18.34
112,Khasan,IN,2020-02-25 05:39:06,13.0,76.1,84.51,23,43,7.27
113,Umm Lajj,SA,2020-02-25 05:39:06,25.02,37.27,57.52,58,12,17.96
114,Bambous Virieux,MU,2020-02-25 05:31:25,-20.34,57.76,84.2,79,75,4.7
115,Omboue,GA,2020-02-25 05:32:01,-1.57,9.26,76.5,94,74,2.53
116,Yulara,AU,2020-02-25 05:34:19,-25.24,130.99,98.6,17,29,17.22
117,Nouadhibou,MR,2020-02-25 05:34:29,20.93,-17.03,69.8,73,72,10.29
118,Georgetown,MY,2020-02-25 05:31:22,5.41,100.34,91.4,62,20,10.29
119,Abay,KZ,2020-02-25 05:39:07,49.63,72.85,12.2,85,40,15.66
120,Leningradskiy,TJ,2020-02-25 05:31:55,38.11,70.03,53.6,71,75,4.47
121,College,US,2020-02-25 05:32:37,64.86,-147.8,-4.0,75,1,3.71
122,Albany,AL,2020-02-25 05:31:20,41.0,20.0,41.0,86,0,5.82
123,Zyryanskoye,RU,2020-02-25 05:39:07,56.83,86.63,20.3,91,86,4.74
124,Akureyri,IS,2020-02-25 05:35:13,65.68,-18.09,15.46,90,100,3.69
125,Dalbandin,PK,2020-02-25 05:35:12,28.89,64.41,69.12,20,51,4.12
126,Morro Bay,US,2020-02-25 05:39:08,35.37,-120.85,57.99,87,1,6.4
127,Ribeira Grande,PT,2020-02-25 05:31:16,38.52,-28.7,56.07,77,97,4.79
128,Port Elizabeth,ZA,2020-02-25 05:30:07,-33.92,25.57,62.6,88,0,6.93
129,La Palma,US,2020-02-25 05:39:08,33.85,-118.05,61.0,77,1,0.96
130,Gondanglegi,ID,2020-02-25 05:39:08,-8.18,112.64,78.33,88,95,4.23
131,Cherskiy,RU,2020-02-25 05:31:43,68.75,161.3,-23.46,89,67,3.33
132,Narok,KE,2020-02-25 05:39:09,-1.08,35.86,66.61,53,100,1.74
133,Hambantota,LK,2020-02-25 05:33:53,6.12,81.12,86.0,79,40,14.99
134,Carnarvon,GB,2020-02-25 05:31:35,53.14,-4.27,43.0,75,82,27.51
135,Bonavista,CA,2020-02-25 05:32:44,48.65,-53.11,28.0,86,17,3.0
136,Trincomalee,LK,2020-02-25 05:39:09,8.57,81.23,87.21,56,43,8.19
137,Bengkulu,ID,2020-02-25 05:30:50,-3.8,102.27,90.99,52,53,5.37
138,Saint-Joseph,RE,2020-02-25 05:34:14,-21.37,55.62,82.4,69,75,10.29
139,Sterling,GB,2020-02-25 05:39:10,56.12,-3.94,37.0,100,75,8.05
140,Jamestown,US,2020-02-25 05:27:29,42.1,-79.24,42.8,69,90,4.7
141,Uruacu,BR,2020-02-25 05:39:10,-14.52,-49.14,69.94,95,86,1.86
142,Kaoma,ZM,2020-02-25 05:39:10,-14.78,24.8,65.12,95,91,4.76
143,Meulaboh,ID,2020-02-25 05:31:17,4.14,96.13,83.62,69,36,3.87
144,Bluefield,US,2020-02-25 05:34:32,37.27,-81.22,46.0,81,90,12.75
145,Vaini,TO,2020-02-25 05:31:14,-21.2,-175.2,86.0,79,20,5.82
146,Rio Grande,BR,2020-02-25 05:32:05,-32.03,-52.1,68.0,88,1,10.92
147,Barra Patuca,HN,2020-02-25 05:39:11,15.8,-84.28,77.72,81,3,17.09
148,Constitucion,MX,2020-02-25 05:32:26,25.04,-111.66,61.11,61,74,5.93
149,Lebu,CL,2020-02-25 05:31:48,-37.62,-73.65,48.25,96,1,3.85
150,Emba,KZ,2020-02-25 05:39:11,48.83,58.14,33.44,100,100,7.23
151,Lixourion,GR,2020-02-25 05:32:44,38.2,20.43,51.01,80,0,1.01
152,Comodoro Rivadavia,AR,2020-02-25 05:33:32,-45.87,-67.5,60.8,48,33,10.29
153,Tasiilaq,GL,2020-02-25 05:31:22,65.61,-37.64,8.6,55,27,2.24
154,Kodiak,US,2020-02-25 05:31:31,57.79,-152.41,33.8,69,90,38.03
155,Taoudenni,ML,2020-02-25 05:39:12,22.68,-3.98,61.39,22,55,9.91
156,Kasempa,ZM,2020-02-25 05:39:12,-13.46,25.83,66.45,93,100,6.91
157,Tecpan,GT,2020-02-25 05:35:01,14.77,-90.99,64.4,88,75,9.17
158,Margate,GB,2020-02-25 05:31:16,51.38,1.39,44.01,80,48,11.41
159,Aksu,CN,2020-02-25 05:39:13,41.12,80.26,48.7,29,86,2.01
160,Kavieng,PG,2020-02-25 05:32:48,-2.57,150.8,85.6,66,2,6.42
161,Baruun-Urt,MN,2020-02-25 05:31:24,46.68,113.28,9.9,87,99,6.02
162,Guerrero Negro,MX,2020-02-25 05:32:40,27.98,-114.06,61.92,69,0,11.95
163,Petropavlovsk-Kamchatskiy,RU,2020-02-25 05:34:53,53.05,158.65,28.4,54,100,20.13
164,Havre-Saint-Pierre,CA,2020-02-25 05:32:28,50.23,-63.6,28.4,92,90,5.82
165,Banda Aceh,ID,2020-02-25 05:32:01,5.56,95.32,90.34,52,37,7.87
166,San Juan,AR,2020-02-25 05:39:14,-31.54,-68.54,70.39,43,16,17.58
167,Esperance,AU,2020-02-25 05:31:14,-33.87,121.9,75.2,64,75,17.22
168,Oistins,BB,2020-02-25 05:31:35,13.07,-59.53,78.8,74,40,13.87
169,Morden,CA,2020-02-25 05:39:14,49.19,-98.1,21.2,100,1,9.17
170,Trinidad,BO,2020-02-25 05:39:15,-14.83,-64.9,72.05,96,83,3.09
171,Grindavik,IS,2020-02-25 05:32:46,63.84,-22.43,28.4,92,75,10.29
172,Hualmay,PE,2020-02-25 05:32:12,-11.1,-77.61,71.82,76,38,3.51
173,San Pawl Il-Bahar,MT,2020-02-25 05:39:15,35.95,14.42,55.99,93,40,6.93
